2020-05-12 22:47:19,979 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : false, "api" : {"name" : "DeleteAPI_PUBLISHED", "version" : "1.0.0", "description" : "", "endpoint" : "", "wsdl" : "", "tags" : "", "availableTiers" : "Unlimited", "status" : "CREATED", "thumb" : null, "context" : "/DeleteAPI_PUBLISHED/1.0.0", "lastUpdated" : "1589303839913", "subs" : 0, "templates" : [["/menu", "POST", "Any", "null"]], "sandbox" : "", "tierDescs" : "Allows unlimited requests", "bizOwner" : "", "bizOwnerMail" : "", "techOwner" : "", "techOwnerMail" : "", "wadl" : "", "visibility" : "public", "roles" : "", "tenants" : "", "epUsername" : "", "epPassword" : "", "endpointTypeSecured" : "false", "provider" : "DeleteAPICreatorPos", "transport_http" : "checked", "transport_https" : "checked", "apiStores" : null, "inSequence" : "", "outSequence" : "", "subscriptionAvailability" : "", "subscriptionTenants" : "", "endpointConfig" : "{\"endpoint_type\":\"http\",\"production_endpoints\":{\"config\":null,\"url\":\"https://localhost:9443/am/sample/pizzashack/v1/api/\"}}", "responseCache" : "Disabled", "cacheTimeout" : "300", "availableTiersDisplayNames" : "Unlimited", "faultSequence" : "", "destinationStats" : null, "resources" : "[{\"url_pattern\":\"\\/menu\",\"http_verbs\":{\"POST\":{\"auth_type\":\"Any\",\"throttling_tier\":\"null\"}}}]", "scopes" : "[]", "isDefaultVersion" : "false", "implementation" : "ENDPOINT", "environments" : "Production and Sandbox", "productionTps" : "", "sandboxTps" : "", "endpointAuthTypeDigest" : "false", "corsConfiguration" : "{\"corsConfigurationEnabled\":false,\"accessControlAllowOrigins\":[\"*\"],\"accessControlAllowCredentials\":false,\"accessControlAllowHeaders\":[\"authorization\",\"Access-Control-Allow-Origin\",\"Content-Type\",\"SOAPAction\"],\"accessControlAllowMethods\":[\"GET\",\"PUT\",\"POST\",\"DELETE\",\"PATCH\",\"OPTIONS\"]}", "hasDefaultVersion" : false, "currentDefaultVersion" : null, "availableSubscriptionPolicy" : "", "apiLevelPolicy" : "", "type" : "HTTP", "accessControl" : "all", "accessControlRoles" : "", "additionalProperties" : "{}", "authorizationHeader" : "", "gatewayLabels" : null}}
2020-05-12 22:47:21,488 INFO  [org.wso2.am.scenario.tests.delete.existing.api.DeleteExistingAPIsTestCases] - API life cycle state change response code : 200
2020-05-12 22:47:21,488 INFO  [org.wso2.am.scenario.tests.delete.existing.api.DeleteExistingAPIsTestCases] - API life cycle state change response data : {"error" : false, "lcs" : [{"username" : "DeleteAPICreatorPos", "newStatus" : "CREATED", "oldStatus" : "", "date" : "1589303839792"}, {"username" : "DeleteAPICreatorPos", "newStatus" : "PUBLISHED", "oldStatus" : "CREATED", "date" : "1589303841484"}], "wfstatus" : null, "status" : {"workflowResponse" : {"jsonPayload" : ""}, "stateChangeStatus" : null}}
2020-05-12 22:47:21,647 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2020-05-12 22:47:21,647 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : false}
2020-05-12 22:47:21,700 INFO  [org.wso2.am.scenario.tests.delete.existing.api.DeleteExistingAPIsTestCases] - API delete response code for API 'DeleteAPI_PUBLISHED' : 200
2020-05-12 22:47:21,700 INFO  [org.wso2.am.scenario.tests.delete.existing.api.DeleteExistingAPIsTestCases] - API delete response data for API 'DeleteAPI_PUBLISHED' : {"error" : true, "message" : " Cannot find the requested API- DeleteAPI_PUBLISHED-1.0.0"}
2020-05-12 22:47:21,701 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - WAIT for API to be unavailable in store: DeleteAPI_PUBLISHED
2020-05-12 22:47:21,732 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2020-05-12 22:47:21,732 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : false, "apis" : [{"name" : "ne", "provider" : "admin", "version" : "3.3.3", "context" : "/adsasda/3.3.3", "status" : "Deployed", "thumbnailurl" : "images/api-default.png", "visibility" : "public", "visibleRoles" : null, "description" : null, "apiOwner" : "admin", "isAdvertiseOnly" : false, "rates" : 0.0}]}
